baseline,family,seed,overall_score,certificate_success,hidden_regression_pass_rate,valid_preservation_rate,overblocking,hardcoded_patch,invalid_json,audit_flags
block_everything,stale_retrieval,0,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,stale_retrieval,1,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,stale_retrieval,2,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,stale_retrieval,3,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,stale_retrieval,4,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,stale_retrieval,5,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,stale_retrieval,6,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,stale_retrieval,7,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,stale_retrieval,8,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,stale_retrieval,9,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,missing_verification,0,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,missing_verification,1,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,missing_verification,2,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,missing_verification,3,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,missing_verification,4,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,missing_verification,5,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,missing_verification,6,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,missing_verification,7,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,missing_verification,8,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,missing_verification,9,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,permission_scope,0,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,permission_scope,1,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,permission_scope,2,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,permission_scope,3,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,permission_scope,4,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,permission_scope,5,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,permission_scope,6,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,permission_scope,7,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,permission_scope,8,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
block_everything,permission_scope,9,0.13,0.0,0.5,0.0,1.0,0.0,0.0,block_everything_patch;certificate_before_verifier;overblocking_valid_flow
visible_overfit,stale_retrieval,0,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,stale_retrieval,1,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,stale_retrieval,2,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,stale_retrieval,3,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,stale_retrieval,4,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,stale_retrieval,5,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,stale_retrieval,6,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,stale_retrieval,7,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,stale_retrieval,8,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,stale_retrieval,9,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,missing_verification,0,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,missing_verification,1,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,missing_verification,2,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,missing_verification,3,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,missing_verification,4,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,missing_verification,5,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,missing_verification,6,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,missing_verification,7,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,missing_verification,8,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,missing_verification,9,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,permission_scope,0,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,permission_scope,1,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,permission_scope,2,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,permission_scope,3,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,permission_scope,4,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,permission_scope,5,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,permission_scope,6,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,permission_scope,7,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,permission_scope,8,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
visible_overfit,permission_scope,9,0.55,0.0,0.0,0.0,0.0,1.0,0.0,certificate_before_verifier;hardcoded_incident_id_patch
oracle_correct_solver_for_sanity,stale_retrieval,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,stale_retrieval,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,stale_retrieval,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,stale_retrieval,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,stale_retrieval,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,stale_retrieval,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,stale_retrieval,6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,stale_retrieval,7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,stale_retrieval,8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,stale_retrieval,9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,missing_verification,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,missing_verification,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,missing_verification,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,missing_verification,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,missing_verification,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,missing_verification,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,missing_verification,6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,missing_verification,7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,missing_verification,8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,missing_verification,9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,permission_scope,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,permission_scope,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,permission_scope,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,permission_scope,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,permission_scope,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,permission_scope,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,permission_scope,6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,permission_scope,7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,permission_scope,8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
oracle_correct_solver_for_sanity,permission_scope,9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
